City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,guerrero negro,27.9769,-114.0611,287.53,75,100,5.15,MX,1679041058
84,makueni,-1.8041,37.6203,296.94,61,98,2.8,KE,1679041059
85,mahabad,36.7631,45.7222,282.28,70,93,4.35,IR,1679041059
86,ilulissat,69.2167,-51.1,260.16,56,75,7.72,GL,1679041060
87,ciudad bolivar,8.1222,-63.5497,296.62,72,0,4.45,VE,1679041060
88,zhigansk,66.7697,123.3711,265.38,94,100,8.12,RU,1679040762
89,svetlaya,46.5389,138.3297,272.9,55,7,5.59,RU,1679041061
90,iqaluit,63.7506,-68.5145,247.0,70,0,11.83,CA,1679041062
91,talnakh,69.4865,88.3972,255.25,93,100,5.32,RU,1679041063
92,sitka,57.0531,-135.33,279.09,75,100,6.17,US,1679041063
93,mehamn,71.0357,27.8492,269.1,74,75,8.75,NO,1679041064
94,alofi,-19.0595,-169.9187,298.09,88,40,2.06,NU,1679041064
95,zaragoza,41.6561,-0.8773,284.74,80,75,5.66,ES,1679040862
96,hofn,64.2539,-15.2082,273.16,55,75,6.69,IS,1679041065
97,pitea,65.3172,21.4794,263.2,89,66,1.0,SE,1679041066
98,bluff,-46.6,168.3333,285.82,63,96,8.78,NZ,1679041066
99,samfya,-11.3649,29.5565,293.3,88,98,2.45,ZM,1679041067
100,cabedelo,-6.9811,-34.8339,297.52,87,100,2.37,BR,1679041067
101,manbij,36.5281,37.9549,287.27,61,100,3.26,SY,1679041068
102,yinchuan,38.4681,106.2731,284.5,17,0,4.36,CN,1679041069
103,lalganj,25.8667,85.1833,302.12,21,100,2.37,IN,1679041069
104,arcachon,44.5875,-1.0519,285.6,87,0,2.06,FR,1679040891
105,villanueva de cordoba,38.3228,-4.6287,282.79,92,100,1.33,ES,1679041070
106,sumbe,-11.2061,13.8437,299.31,81,100,1.18,AO,1679041071
107,belaya gora,68.5333,146.4167,261.73,95,100,1.16,RU,1679041072
108,nizhnevartovsk,60.9344,76.5531,277.16,60,0,7.0,RU,1679041072
109,kruisfontein,-34.0033,24.7314,304.88,32,36,7.41,ZA,1679041073
110,vestmanna,62.1564,-7.1664,274.66,87,40,0.51,FO,1679041073
111,codrington,-38.2667,141.9667,289.9,64,3,2.84,AU,1679041074
112,sokoni,-6.4333,39.55,301.59,67,67,2.1,TZ,1679041074
113,mitsamiouli,-11.3847,43.2844,302.1,69,87,0.89,KM,1679041075
114,zelenets,61.8849,50.7489,274.29,84,100,3.25,RU,1679041076
115,ponta do sol,32.6667,-17.1,290.38,70,9,2.06,PT,1679041076
116,bilma,18.6853,12.9164,300.4,7,0,6.71,NE,1679041077
117,pirovskoye,57.6267,92.2658,274.14,100,100,2.76,RU,1679041077
118,lebu,-37.6167,-73.65,285.86,93,96,4.08,CL,1679041006
119,bredasdorp,-34.5322,20.0403,298.04,60,16,4.13,ZA,1679041079
120,honningsvag,70.9821,25.9704,269.01,74,75,5.66,NO,1679041079
121,makakilo city,21.3469,-158.0858,298.33,86,20,2.57,US,1679041080
122,simbahan,6.3032,120.5836,301.02,74,95,1.76,PH,1679041080
123,bonavista,48.6499,-53.1147,273.17,98,100,8.01,CA,1679041081
124,thompson,55.7435,-97.8558,251.24,77,100,4.63,CA,1679041081
125,chokurdakh,70.6333,147.9167,256.38,92,96,1.77,RU,1679041082
